Timestamp,"Air temperature (gund, ℃)","Relative humidity (gund, %)","Wind direction (gund, °)","Wind speed (gund, m/s)","Pressure (gund, mbar)","Solar radiation (gund, W/m^2)"
6/27/22 11:50,21.53,95.9,240,2,1008.7,68
6/27/22 11:55,21.53,96.6,239,2,1008.7,52
6/27/22 12:00,21.56,97,233,1,1008.8,48
6/27/22 12:05,21.46,97.1,240,2.5,1008.8,121
6/27/22 12:10,21.77,97.1,229,1.5,1008.8,126
6/27/22 12:15,22.11,97.2,212,1,1008.8,153
6/27/22 12:20,21.87,97.1,244,2,1008.8,102
6/27/22 12:25,21.75,97.7,240,1,1008.8,57
6/27/22 12:30,21.7,97.8,225,1,1008.8,106
6/27/22 12:35,21.65,97.9,246,2,1009,66
6/27/22 12:40,21.63,97.9,244,2,1008.7,98
6/27/22 12:45,21.82,98.1,219,2,1008.6,133
6/27/22 12:50,21.8,98.1,230,2.5,1008.6,116
6/27/22 12:55,22.11,98.1,232,1.5,1008.5,108
6/27/22 13:00,22.13,97.8,234,1,1008.5,82
6/27/22 13:05,22.06,97.8,227,1.5,1008.5,73
6/27/22 13:10,21.87,97.7,225,1.5,1008.6,28
6/27/22 13:15,21.51,98.2,246,2,1008.8,43
6/27/22 13:20,21.53,98.7,247,1,1008.9,59
6/27/22 13:25,21.63,98.8,250,1,1008.9,53
6/27/22 13:30,21.49,98.8,236,3,1009,57
6/27/22 13:35,21.58,99,227,2,1008.8,57
6/27/22 13:40,21.65,99.1,222,1,1008.8,67
6/27/22 13:45,21.39,99.1,237,2,1008.8,77
6/27/22 13:50,21.53,99.2,230,1.5,1008.6,92
6/27/22 13:55,21.84,99.2,229,0.5,1008.7,158
6/27/22 14:00,21.96,99,220,1,1008.6,99
6/27/22 14:05,21.91,98.9,243,1,1008.6,87
6/27/22 14:10,21.99,98.8,230,0.5,1008.6,107
6/27/22 14:15,21.75,98.9,230,1,1008.7,67
6/27/22 14:20,21.68,99,240,1,1008.7,72
6/27/22 14:25,21.68,99.2,230,1.5,1008.6,77
6/27/22 14:30,21.77,99.3,256,1,1008.7,83
6/27/22 14:35,21.7,99.3,229,0.5,1008.5,84
6/27/22 14:40,21.72,99.3,244,0.5,1008.5,78
6/27/22 14:45,21.6,99.4,232,1,1008.6,39
6/27/22 14:50,21.63,99.4,230,1,1008.6,59
6/27/22 14:55,21.65,99.5,218,0.5,1008.6,39
6/27/22 15:00,21.65,99.4,243,1,1008.7,64
6/27/22 15:05,21.72,99.4,225,1,1008.5,63
6/27/22 15:10,21.7,99.5,222,1.5,1008.5,58
6/27/22 15:15,21.75,99.5,226,0.5,1008.5,66
6/27/22 15:20,21.82,99.5,212,0.5,1008.4,73
6/27/22 15:25,21.77,99.5,234,1,1008.5,53
6/27/22 15:30,21.75,99.5,222,1,1008.5,78
6/27/22 15:35,21.68,99.6,222,1,1008.5,46
6/27/22 15:40,21.7,99.6,219,1.5,1008.4,64
6/27/22 15:45,21.72,99.6,220,1,1008.5,58
